Sexe,Prénom,Nom,Email,Téléphone,Ville,Domaine,Niveau d'expérience,Formation,Expériences,Langues,Compétences
m,jean,chauvin,jean.chauvin@wanadoo.fr,01 78 76 86 69,pires,design,junior,doctorat - hamon (2023),lebon leleu s.a. | responsable design | 2021 - 2023 | traore didier s.a.s. | responsable design | 2023 - 2024,"anglais, italien, arabe","illustrator, ui/ux, photoshop, design thinking"
f,alice,leclerc,alice.leclerc@voila.fr,+33 (0)3 25 82 78 39,saint patricia-la-forêt,assistance virtuelle,senior,école d'ingénieur - dupuis (2021),rémy sa | chargé assistance virtuelle | 2019 - 2024 | allain | responsable assistance virtuelle | 2018 - 2019 | torres becker s.a.s. | adjoint assistance virtuelle | 2016 - 2021,français,"service client, traitement d'e-mails, gestion d'agenda et de calendriers"
f,martine,bruneau,martine.bruneau@hotmail.fr,0232337061,rodriguesnec,géologie,débutant,bts - wagner sa (2022),goncalves | chargé géologie | 2017 - 2024 | techer | chargé géologie | 2020 - 2021 | valette bazin sarl | directeur géologie | 2023 - 2024,allemand,"logiciels de cartographie, sondage et forage, analyse géochimique, stratigraphie et tectonique"
m,augustin,pasquier,augustin.pasquier@voila.fr,0752740238,rolland-sur-dos santos,logistique,senior,école de commerce - leclerc (2012),duhamel s.a. | chargé logistique | 2017 - 2022 | besnard s.a.s. | chargé logistique | 2019 - 2023 | roussel pottier s.a. | directeur logistique | 2015 - 2024,"français, espagnol, allemand","règlementations en transport et logistique, chaîne d'approvisionnement, gestion des fournisseurs, gestion de stocks"
f,cécile,paul,cécile.paul@sfr.fr,+33 (0)4 27 49 65 67,dijoux,journalisme,expert,doctorat - pineau (2024),jacob henry s.a. | adjoint journalisme | 2024 - 2024,"allemand, portugais, italien","reportages, techniques d'interview, storytelling et narration visuelle, rédaction d'articles"
f,élodie,lesage,élodie.lesage@wanadoo.fr,+33 (0)4 81 77 03 35,saint claireville,commercial,intermédiaire,licence - robin (2019),huet s.a.r.l. | directeur commercial | 2022 - 2024 | vaillant boulay et fils | directeur commercial | 2024 - 2024 | lenoir | directeur commercial | 2023 - 2024,français,"prospection, stratégie commerciale, négociation, relation client"
m,louis,hardy,louis.hardy@tele2.fr,+33 6 43 29 34 07,guillet,santé,senior,master - denis (2015),peltier | directeur santé | 2017 - 2018 | dupuis s.a.s. | adjoint santé | 2023 - 2023 | masson sa | chargé santé | 2022 - 2022,"anglais, allemand","recherche, analyse médicale, diagnostic, gestion de patient"
f,marine,pires,marine.pires@yahoo.fr,+33 1 42 85 05 01,sainte alexandrianec,finance & comptabilité,expert,doctorat - fouquet sarl (2021),lejeune s.a.s. | adjoint finance & comptabilité | 2017 - 2023 | picard gauthier sarl | responsable finance & comptabilité | 2023 - 2023,"italien, allemand, français","comptabilité, audit, gestion de projet"
m,denis,couturier,denis.couturier@wanadoo.fr,+33 5 56 16 36 89,joly,informatique,débutant,formation professionnelle - texier (2017),pires s.a.r.l. | chargé informatique | 2016 - 2020,"italien, espagnol, chinois","tensorflow, angularjs, machine learning, python, reactjs, linux"
m,gilles,blin,gilles.blin@wanadoo.fr,0389617603,blot,finance & comptabilité,expert,formation professionnelle - breton blin s.a. (2019),mahe | responsable finance & comptabilité | 2023 - 2023 | meyer s.a.r.l. | responsable finance & comptabilité | 2015 - 2023 | payet sarl | responsable finance & comptabilité | 2014 - 2021,"anglais, espagnol","gestion de projet, comptabilité, excel, analyse financière"
m,daniel,olivier,daniel.olivier@sfr.fr,0555308064,legros-la-forêt,economie,débutant,doctorat - de sousa (2024),delorme s.a.s. | adjoint economie | 2024 - 2024 | besnard s.a. | chargé economie | 2015 - 2020,"anglais, espagnol, italien","statistiques, rédaction de rapports économiques, analyse de données économiques, politiques monétaires et fiscales"
m,guy,antoine,guy.antoine@wanadoo.fr,+33 (0)2 48 77 10 65,turpin-la-forêt,design,senior,doctorat - étienne (2018),bigot | chargé design | 2015 - 2017 | petitjean | responsable design | 2015 - 2020,"chinois, français, portugais","photoshop, design thinking, illustrator, ui/ux"
m,daniel,courtois,daniel.courtois@gmail.com,+33 (0)3 22 11 70 81,bonneau-sur-fontaine,economie,senior,école d'ingénieur - martins (2022),noël | adjoint economie | 2021 - 2023 | vallée guérin sa | directeur economie | 2017 - 2021,"anglais, allemand","rédaction de rapports économiques, analyse de données économiques, politiques monétaires et fiscales, statistiques"
m,timothée,lefort,timothée.lefort@wanadoo.fr,+33 5 19 09 77 33,saint josette,éducation,débutant,dut - gosselin (2010),leclercq pelletier et fils | adjoint éducation | 2019 - 2024 | morin sarl | directeur éducation | 2020 - 2022 | perrin bernier s.a.s. | adjoint éducation | 2024 - 2024,"arabe, portugais","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,zacharie,buisson,zacharie.buisson@noos.fr,0555504864,sainte lucie,design,débutant,école de commerce - dias s.a.s. (2021),giraud bouvet et fils | responsable design | 2015 - 2021,"chinois, arabe","photoshop, illustrator, ui/ux, design thinking"
m,charles,delattre,charles.delattre@tele2.fr,+33 5 81 55 28 81,ferrand,communication,senior,formation professionnelle - langlois (2014),fabre camus s.a.r.l. | directeur communication | 2015 - 2018,"espagnol, français, italien","outils de communication, maîtrise des réseaux sociaux, gestion de crise et communication d'urgence"
f,marcelle,gaillard,marcelle.gaillard@live.com,02 40 69 30 09,grenier-les-bains,commercial,senior,master - lamy s.a.r.l. (2015),lemoine sarl | chargé commercial | 2015 - 2020 | peron | directeur commercial | 2017 - 2019,"français, espagnol, chinois","négociation, stratégie commerciale, relation client, prospection"
m,nicolas,rossi,nicolas.rossi@ifrance.com,03 71 17 04 17,charpentierboeuf,géologie,junior,école de commerce - humbert moulin s.a.s. (2015),monnier legros s.a.s. | adjoint géologie | 2016 - 2017,"chinois, italien, espagnol","analyse géochimique, logiciels de cartographie, stratigraphie et tectonique, sondage et forage"
f,marie,marty,marie.marty@tele2.fr,03 54 78 61 25,baron,economie,expert,doctorat - munoz payet et fils (2016),bonnet | chargé economie | 2023 - 2024 | bouvier | directeur economie | 2017 - 2023,"portugais, espagnol","analyse de données économiques, statistiques, politiques monétaires et fiscales, rédaction de rapports économiques"
f,émilie,sauvage,émilie.sauvage@laposte.net,+33 1 49 64 62 67,sainte jeanne,marketing,débutant,bts - gay brun s.a. (2019),teixeira | responsable marketing | 2022 - 2023,"italien, allemand","stratégie digitale, community management, analytics"
m,raymond,seguin,raymond.seguin@noos.fr,0188638846,delattre,commercial,junior,formation professionnelle - mathieu (2010),diallo sarl | responsable commercial | 2017 - 2022 | rey blin sarl | chargé commercial | 2020 - 2023 | lebrun jean s.a. | adjoint commercial | 2020 - 2024,"allemand, français","relation client, négociation, prospection, stratégie commerciale"
f,marguerite,carre,marguerite.carre@dbmail.com,+33 1 46 71 66 02,ruizbourg,economie,expert,doctorat - barre (2009),lejeune | adjoint economie | 2017 - 2023 | maillot foucher s.a. | chargé economie | 2019 - 2022,"portugais, espagnol, italien","rédaction de rapports économiques, statistiques, politiques monétaires et fiscales, analyse de données économiques"
m,eugène,joubert,eugène.joubert@gmail.com,+33 2 18 51 57 08,lesage,communication,expert,bts - turpin s.a.s. (2016),berthelot | responsable communication | 2016 - 2017 | gérard | directeur communication | 2021 - 2021 | payet | responsable communication | 2023 - 2024,italien,"gestion de crise et communication d'urgence, maîtrise des réseaux sociaux, outils de communication, edition de contenu"
f,virginie,gonzalez,virginie.gonzalez@gmail.com,0371765239,guillon,géologie,senior,doctorat - wagner sa (2023),da costa s.a.r.l. | chargé géologie | 2017 - 2017 | bertin coulon s.a.r.l. | directeur géologie | 2018 - 2024 | antoine s.a.r.l. | responsable géologie | 2018 - 2020,"arabe, allemand","logiciels de cartographie, sondage et forage, analyse géochimique, stratigraphie et tectonique"
f,anastasie,dupont,anastasie.dupont@sfr.fr,+33 (0)3 28 36 91 76,gaudin,informatique,expert,licence - paris rodriguez sa (2012),rey | responsable informatique | 2023 - 2024 | colas petitjean et fils | chargé informatique | 2021 - 2024 | bourdon | directeur informatique | 2023 - 2024,"chinois, anglais","angularjs, flutter, sql, cloud, cybersécurité"
m,auguste,martins,auguste.martins@noos.fr,0358826165,bertinboeuf,design,senior,master - ruiz grenier et fils (2021),vallée | adjoint design | 2024 - 2024 | ledoux | responsable design | 2021 - 2024,espagnol,"photoshop, illustrator, design thinking"
m,bernard,aubry,bernard.aubry@laposte.net,02 98 34 07 73,diazdan,journalisme,débutant,bts - dupré (2015),bodin | chargé journalisme | 2015 - 2024 | da costa | directeur journalisme | 2018 - 2021,allemand,"techniques d'interview, rédaction d'articles, storytelling et narration visuelle"
m,grégoire,pichon,grégoire.pichon@gmail.com,0272638726,bertrand-sur-courtois,informatique,senior,dut - benard huet sa (2012),pasquier marchand s.a.s. | directeur informatique | 2020 - 2024 | pages sarl | chargé informatique | 2019 - 2020,"anglais, allemand","cybersécurité, flutter, angularjs"
f,agathe,blin,agathe.blin@tiscali.fr,01 39 84 10 27,pruvost-sur-tessier,design,senior,école d'ingénieur - brun (2023),lacombe | directeur design | 2015 - 2020,allemand,"design thinking, ui/ux, illustrator, photoshop"
m,gilbert,weiss,gilbert.weiss@free.fr,+33 3 29 89 73 50,munoz,design,senior,formation professionnelle - pinto sarl (2014),marques | chargé design | 2015 - 2017 | benoit | directeur design | 2024 - 2024 | sauvage hoareau s.a. | responsable design | 2024 - 2024,espagnol,"ui/ux, photoshop, design thinking, illustrator"
m,jérôme,schmitt,jérôme.schmitt@free.fr,01 56 32 65 03,marin,ressources humaines,expert,master - mathieu (2024),giraud perrot s.a.s. | responsable ressources humaines | 2022 - 2024,"portugais, anglais, chinois","recrutement, gestion d'équipe, formation"
f,inès,bourgeois,inès.bourgeois@free.fr,+33 (0)2 28 70 01 57,julien,météorologie,expert,école de commerce - brunel (2022),guillou s.a.s. | adjoint météorologie | 2023 - 2024,"allemand, espagnol, français","modèles de prévision, logiciels d'analyse climatique, cartes météorologiques, instruments de mesure météorologique"
m,julien,jacques,julien.jacques@free.fr,0547192339,massonnec,economie,senior,école d'ingénieur - maréchal (2017),mercier s.a.s. | responsable economie | 2022 - 2022,"espagnol, chinois","statistiques, politiques monétaires et fiscales, analyse de données économiques"
m,emmanuel,imbert,emmanuel.imbert@tele2.fr,04 27 44 92 60,jacquetdan,santé,senior,formation professionnelle - vasseur (2020),gomes | adjoint santé | 2015 - 2024 | leclerc | adjoint santé | 2018 - 2024,portugais,"analyse médicale, diagnostic, gestion de patient, recherche"
f,célina,toussaint,célina.toussaint@orange.fr,0237019075,guillon-sur-mer,informatique,expert,doctorat - pires (2010),teixeira | adjoint informatique | 2023 - 2024 | turpin et fils | responsable informatique | 2024 - 2024,"anglais, italien","cybersécurité, reactjs, flutter, mongodb"
f,hortense,pruvost,hortense.pruvost@orange.fr,07 50 94 18 55,saint laurent,logistique,senior,dut - gilles et fils (2017),lebreton | chargé logistique | 2020 - 2021,"italien, anglais","chaîne d'approvisionnement, gestion des fournisseurs, règlementations en transport et logistique, gestion de stocks"
m,hugues,duval,hugues.duval@hotmail.fr,+33 (0)3 10 04 26 14,richard-les-bains,communication,expert,école d'ingénieur - martel (2016),gaudin | responsable communication | 2017 - 2020 | fontaine | adjoint communication | 2022 - 2022,allemand,"edition de contenu, maîtrise des réseaux sociaux, outils de communication, gestion de crise et communication d'urgence"
f,françoise,laporte,françoise.laporte@orange.fr,01 80 96 32 62,monnier-la-forêt,ingénierie,junior,formation professionnelle - seguin sa (2019),jean | responsable ingénierie | 2024 - 2024 | reynaud | chargé ingénierie | 2020 - 2024,espagnol,"analyse technique, mathématiques, innovation, descentes, cao, gestion de projet"
m,gérard,lemaître,gérard.lemaître@orange.fr,+33 (0)3 45 26 99 22,letellier-sur-dupuis,logistique,senior,doctorat - lefebvre (2014),perrot s.a.s. | directeur logistique | 2023 - 2024 | gillet reynaud s.a. | responsable logistique | 2015 - 2022 | rodrigues cordier s.a. | directeur logistique | 2015 - 2023,"espagnol, allemand","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement"
f,dominique,gauthier,dominique.gauthier@orange.fr,05 82 36 11 94,martel,ingénierie,intermédiaire,dut - marin sarl (2010),jacques breton s.a.s. | responsable ingénierie | 2016 - 2017 | jacob | directeur ingénierie | 2018 - 2020 | dubois | adjoint ingénierie | 2022 - 2023,portugais,"cao, analyse technique, gestion de projet"
f,sabine,rémy,sabine.rémy@orange.fr,+33 (0)2 43 31 91 64,lelièvrenec,géologie,débutant,licence - chrétien (2015),gonzalez | adjoint géologie | 2023 - 2024,"allemand, arabe, français","analyse géochimique, sondage et forage, stratigraphie et tectonique, logiciels de cartographie"
m,maurice,bazin,maurice.bazin@wanadoo.fr,0321602958,raynaud,marketing,expert,doctorat - martineau (2013),launay sarl | chargé marketing | 2015 - 2019,"français, espagnol, arabe","seo, communication, analytics"
m,honoré,mathieu,honoré.mathieu@orange.fr,+33 1 76 74 08 23,sainte chantal,marketing,senior,formation professionnelle - chartier navarro sa (2011),legendre | responsable marketing | 2016 - 2024,allemand,"community management, analytics, communication, seo, stratégie digitale"
f,marcelle,bousquet,marcelle.bousquet@gmail.com,02 23 39 83 22,grégoire,marketing,junior,licence - pereira (2013),chauvin potier s.a. | responsable marketing | 2024 - 2024 | rodriguez sarl | responsable marketing | 2018 - 2020,"arabe, allemand","analytics, seo, community management, stratégie digitale"
m,richard,dupuy,richard.dupuy@tiscali.fr,01 47 33 74 40,hoareauboeuf,santé,expert,école de commerce - carlier (2015),martinez | chargé santé | 2017 - 2023 | hervé mace sa | directeur santé | 2014 - 2016 | blanchet | chargé santé | 2016 - 2023,"italien, allemand","recherche, gestion de patient, diagnostic"
f,anouk,fleury,anouk.fleury@free.fr,02 47 69 98 48,nguyen,logistique,expert,bts - foucher s.a. (2017),laroche sa | adjoint logistique | 2015 - 2015 | briand dumas sarl | directeur logistique | 2019 - 2023,"portugais, italien, arabe","règlementations en transport et logistique, gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement"
m,honoré,pineau,honoré.pineau@hotmail.fr,+33 3 45 48 84 66,nguyen,assistance virtuelle,expert,doctorat - maillet (2014),dupont | adjoint assistance virtuelle | 2018 - 2020 | alves s.a.r.l. | adjoint assistance virtuelle | 2019 - 2023 | bonnet sarl | chargé assistance virtuelle | 2023 - 2024,anglais,"gestion de projets, gestion d'agenda et de calendriers, service client, traitement d'e-mails"
m,luc,dias,luc.dias@gmail.com,04 76 08 47 05,sainte diane,éducation,senior,formation professionnelle - brunel monnier et fils (2023),delmas s.a. | responsable éducation | 2023 - 2024,arabe,"gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
f,laetitia,noël,laetitia.noël@hotmail.fr,+33 (0)3 25 35 60 92,saint patricia,economie,débutant,licence - vaillant (2016),charrier baudry sarl | directeur economie | 2019 - 2020 | nicolas sa | chargé economie | 2016 - 2017,anglais,"politiques monétaires et fiscales, analyse de données économiques, statistiques"
m,yves,pascal,yves.pascal@bouygtel.fr,+33 5 65 03 50 08,voisinville,ingénierie,débutant,formation professionnelle - simon s.a. (2015),fouquet blanchard et fils | directeur ingénierie | 2023 - 2023,français,"mathématiques, analyse technique, descentes, robotique, cao"
m,aimé,bonnin,aimé.bonnin@wanadoo.fr,+33 1 34 37 45 71,delannoy-sur-mer,assistance virtuelle,senior,dut - monnier dupré sa (2015),renaud hervé s.a. | responsable assistance virtuelle | 2021 - 2022 | mary sarl | responsable assistance virtuelle | 2019 - 2024,"anglais, portugais, espagnol","service client, traitement d'e-mails, gestion d'agenda et de calendriers, gestion de projets"
m,jacques,tessier,jacques.tessier@laposte.net,0269929670,saint thérèsebourg,météorologie,junior,master - traore (2013),caron s.a.r.l. | directeur météorologie | 2015 - 2016 | legros | chargé météorologie | 2024 - 2024,"espagnol, anglais","instruments de mesure météorologique, modèles de prévision, cartes météorologiques"
f,anne,perrot,anne.perrot@noos.fr,05 79 98 05 91,collet,communication,senior,licence - lopez (2011),meyer | chargé communication | 2017 - 2021 | couturier françois et fils | adjoint communication | 2020 - 2024,anglais,"gestion de crise et communication d'urgence, outils de communication, edition de contenu, maîtrise des réseaux sociaux"
f,claudine,courtois,claudine.courtois@yahoo.fr,0450456712,courtois,journalisme,intermédiaire,école de commerce - pages sarl (2023),neveu | directeur journalisme | 2023 - 2024 | hoarau et fils | directeur journalisme | 2015 - 2024,"chinois, anglais, espagnol","reportages, techniques d'interview, rédaction d'articles"
m,sébastien,lecomte,sébastien.lecomte@tele2.fr,+33 2 31 02 45 05,reynaudville,ressources humaines,junior,école de commerce - courtois s.a.s. (2013),besson et fils | responsable ressources humaines | 2018 - 2019 | prévost | responsable ressources humaines | 2022 - 2023,"français, portugais, chinois","droit du travail, gestion d'équipe, formation"
m,noël,moreno,noël.moreno@sfr.fr,0636835873,hoareaudan,logistique,senior,bts - samson (2024),tanguy | responsable logistique | 2017 - 2019,arabe,"règlementations en transport et logistique, gestion des fournisseurs, chaîne d'approvisionnement"
f,aimée,giraud,aimée.giraud@yahoo.fr,0630533401,lemaître,communication,débutant,doctorat - richard (2021),allain | chargé communication | 2024 - 2024,"portugais, français","maîtrise des réseaux sociaux, gestion de crise et communication d'urgence, outils de communication"
m,auguste,maurice,auguste.maurice@bouygtel.fr,02 76 41 73 57,sainte marcelle-sur-mer,éducation,intermédiaire,formation professionnelle - berger (2021),morvan | chargé éducation | 2021 - 2024,"italien, anglais","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,robert,mace,robert.mace@orange.fr,+33 (0)3 59 40 89 63,massonville,marketing,intermédiaire,master - letellier schmitt s.a.r.l. (2019),dubois s.a.r.l. | chargé marketing | 2023 - 2024,"italien, allemand, anglais","community management, communication, seo, analytics, stratégie digitale"
m,denis,brunet,denis.brunet@wanadoo.fr,+33 1 69 28 20 31,sainte émileville,logistique,débutant,doctorat - girard (2024),barre | responsable logistique | 2016 - 2022 | michaud | chargé logistique | 2022 - 2024 | rolland | responsable logistique | 2021 - 2023,espagnol,"règlementations en transport et logistique, gestion de stocks, chaîne d'approvisionnement, gestion des fournisseurs"
f,sylvie,potier,sylvie.potier@dbmail.com,02 78 49 33 65,roy-sur-mer,éducation,junior,formation professionnelle - toussaint s.a. (2021),dijoux | directeur éducation | 2017 - 2019,français,"gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,gilbert,imbert,gilbert.imbert@sfr.fr,+33 (0)4 92 16 93 85,chauvin,communication,débutant,dut - giraud barre sarl (2014),raymond | responsable communication | 2015 - 2015 | courtois bouchet s.a. | responsable communication | 2016 - 2017,"italien, français, arabe","maîtrise des réseaux sociaux, gestion de crise et communication d'urgence, edition de contenu"
f,adèle,maillot,adèle.maillot@dbmail.com,02 57 01 27 64,evrard,journalisme,expert,master - perrin (2016),albert | chargé journalisme | 2015 - 2018 | gomes | directeur journalisme | 2015 - 2021,"anglais, portugais, italien","reportages, techniques d'interview, rédaction d'articles"
m,arthur,adam,arthur.adam@ifrance.com,+33 (0)6 89 20 35 35,georges,commercial,expert,master - fournier (2016),breton | chargé commercial | 2019 - 2024,"espagnol, allemand, arabe","prospection, négociation, stratégie commerciale, relation client"
